id,name,type,validSince,validUntil,$.data.uuid,$.data.imageId,$.data.text,$.data.folder,$.data.url,$.data.imageUrl,$.data.nyplUrl,geometry
702231f-a,Brooklyn: 2nd Street (South) - Keap Street,st:Photo,1931,1931,d5f2bca0-c531-012f-90f2-58d385a7bc34,702231f,"South 2nd Street, at the southwest corner of Keap Street, showing Public School No. 19. This is the old school building, a modern addition having been erected at the northwest corner of Keap and South 3rd Streets.\n\nBoard of Education of the City of New York. June 24, 1931","2nd Street (South) & Keap Street, Brooklyn, NY",https://www.oldnyc.org/#702231f-a,http://oldnyc-assets.nypl.org/600px/702231f-a.jpg,http://digitalcollections.nypl.org/items/d5f2bca0-c531-012f-90f2-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.953858,40.710262]}"
702232f-a,Brooklyn: 2nd Street (South) - Keap Street,st:Photo,1931,1931,d6522c40-c531-012f-35e0-58d385a7bc34,702232f,"South 2nd Street, at the southwest corner of Keap Street. Shown is the modern addition to Public School No. 19 at the northwest corner of South 3rd and Keap Street. The old building is on the right, at South 2nd Street.\n\nBoard of Eduction of the City of New York\nJune 24, 1921","2nd Street (South) & Keap Street, Brooklyn, NY",https://www.oldnyc.org/#702232f-a,http://oldnyc-assets.nypl.org/600px/702232f-a.jpg,http://digitalcollections.nypl.org/items/d6522c40-c531-012f-35e0-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.953858,40.710262]}"
702237f-a,Brooklyn: 3rd Avenue - Schermerhorn Street,st:Photo,1930,1931,d81da3a0-c531-012f-2931-58d385a7bc34,702237f,"(1)\nThird Ave., from and including Schermerhorn Street, to and including Flatbush Ave. Also shown is Flatbush Ave., east side, between Fulton Street and Lafayette Ave.\n\nFebruary 14, 1931.\n\nP.L. Sperr.\n\n(2)\nThe same, from a different angle.\n\nJuly 5, 1930.\n\nP.L. Sperr.\n","3rd Avenue & Schermerhorn Street, Brooklyn, NY",https://www.oldnyc.org/#702237f-a,http://oldnyc-assets.nypl.org/600px/702237f-a.jpg,http://digitalcollections.nypl.org/items/d81da3a0-c531-012f-2931-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.979846,40.686576]}"
702237f-b,Brooklyn: 3rd Avenue - Schermerhorn Street,st:Photo,1930,1931,d81da3a0-c531-012f-2931-58d385a7bc34,702237f,"(1)\nThird Ave., from and including Schermerhorn Street, to and including Flatbush Ave. Also shown is Flatbush Ave., east side, between Fulton Street and Lafayette Ave.\n\nFebruary 14, 1931.\n\nP.L. Sperr.\n\n(2)\nThe same, from a different angle.\n\nJuly 5, 1930.\n\nP.L. Sperr.\n","3rd Avenue & Schermerhorn Street, Brooklyn, NY",https://www.oldnyc.org/#702237f-b,http://oldnyc-assets.nypl.org/600px/702237f-b.jpg,http://digitalcollections.nypl.org/items/d81da3a0-c531-012f-2931-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.979846,40.686576]}"
702238f-a,Brooklyn: 3rd Avenue - Schermerhorn Street,st:Photo,1930,1940,d865d990-c531-012f-f2ca-58d385a7bc34,702238f,"3rd Avenue, at the S.W. corner of Schermerhorn Street, showing the Baptist Temple. The is north on the avenue from State Street.\n\nView 1: January 25, 1930\nView 2: May 17, 1940\n\nP.L. Sperr","3rd Avenue & Schermerhorn Street, Brooklyn, NY",https://www.oldnyc.org/#702238f-a,http://oldnyc-assets.nypl.org/600px/702238f-a.jpg,http://digitalcollections.nypl.org/items/d865d990-c531-012f-f2ca-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.979846,40.686576]}"
702238f-b,Brooklyn: 3rd Avenue - Schermerhorn Street,st:Photo,1930,1940,d865d990-c531-012f-f2ca-58d385a7bc34,702238f,"3rd Avenue, at the S.W. corner of Schermerhorn Street, showing the Baptist Temple. The is north on the avenue from State Street.\n\nView 1: January 25, 1930\nView 2: May 17, 1940\n\nP.L. Sperr","3rd Avenue & Schermerhorn Street, Brooklyn, NY",https://www.oldnyc.org/#702238f-b,http://oldnyc-assets.nypl.org/600px/702238f-b.jpg,http://digitalcollections.nypl.org/items/d865d990-c531-012f-f2ca-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.979846,40.686576]}"
702239f-a,Brooklyn: 3rd Avenue - State Street,st:Photo,1931,1931,d8cba570-c531-012f-240b-58d385a7bc34,702239f,"Third Ave., east side, from and including State Street, to, but not including Schermerhorn Street. Also shown is State Street, at and adjoining the N.E. corner of Third Ave. This is a view of Public School No. 15. In the right background of State Street, is the Williamsburg Savings Bank Building.\n\nApril 13, 1931.\n\nP.L. Sperr.\n","3rd Avenue & State Street, Brooklyn, NY",https://www.oldnyc.org/#702239f-a,http://oldnyc-assets.nypl.org/600px/702239f-a.jpg,http://digitalcollections.nypl.org/items/d8cba570-c531-012f-240b-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.980254,40.685964]}"
702240f-a,Brooklyn: 3rd Avenue - State Street,st:Photo,1922,1922,d9159bd0-c531-012f-031e-58d385a7bc34,702240f,"28-44 Third Ave., west side, between State Street and Atlantic Ave. Rear of building at extreme left, is 513 Atlantic Ave.\n\n1922.\n\nEugene L. Armbruster Collection.","3rd Avenue & State Street, Brooklyn, NY",https://www.oldnyc.org/#702240f-a,http://oldnyc-assets.nypl.org/600px/702240f-a.jpg,http://digitalcollections.nypl.org/items/d9159bd0-c531-012f-031e-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.980254,40.685964]}"
702241f-a,Brooklyn: 3rd Avenue - Schermerhorn Street,st:Photo,1942,1942,d97a85f0-c531-012f-b0a1-58d385a7bc34,702241f,3rd Avenue south of Schermerhorn Street\nBrooklyn 7/21/42\nNeg. A-399\nCorner 3rd Avenue and Schermerhorn Street\nBaptist Iemple\nBrooklyn 7/21/42\nNeg. A-400\n,"3rd Avenue & Schermerhorn Street, Brooklyn, NY",https://www.oldnyc.org/#702241f-a,http://oldnyc-assets.nypl.org/600px/702241f-a.jpg,http://digitalcollections.nypl.org/items/d97a85f0-c531-012f-b0a1-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.979846,40.686576]}"
702241f-b,Brooklyn: 3rd Avenue - Schermerhorn Street,st:Photo,1942,1942,d97a85f0-c531-012f-b0a1-58d385a7bc34,702241f,3rd Avenue south of Schermerhorn Street\nBrooklyn 7/21/42\nNeg. A-399\nCorner 3rd Avenue and Schermerhorn Street\nBaptist Iemple\nBrooklyn 7/21/42\nNeg. A-400\n,"3rd Avenue & Schermerhorn Street, Brooklyn, NY",https://www.oldnyc.org/#702241f-b,http://oldnyc-assets.nypl.org/600px/702241f-b.jpg,http://digitalcollections.nypl.org/items/d97a85f0-c531-012f-b0a1-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.979846,40.686576]}"
702242f-a,Brooklyn: 3rd Avenue - Atlantic Avenue,st:Photo,1942,1942,d9cc6140-c531-012f-43d0-58d385a7bc34,702242f,3rd Avenue south from Atlantic Avenue\nBrooklyn 5/31/42\nNeg. A-291\n,"3rd Avenue & Atlantic Avenue, Brooklyn, NY",https://www.oldnyc.org/#702242f-a,http://oldnyc-assets.nypl.org/600px/702242f-a.jpg,http://digitalcollections.nypl.org/items/d9cc6140-c531-012f-43d0-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.980703,40.685323]}"
702244f-a,Brooklyn: 3rd Avenue - Pacific Street,st:Photo,1930,1930,da9cc930-c531-012f-aaef-58d385a7bc34,702244f,"Third Ave., at the S.W. corner of Pacific Street. In the foreground, is seen the proposed New York Times Building excavation at the S.E. corner of Pacific Street. Building concerned is the Swedish Evangelist Church.\nJanuary 26, 1930.\nP. L. Sperr.\n","3rd Avenue & Pacific Street, Brooklyn, NY",https://www.oldnyc.org/#702244f-a,http://oldnyc-assets.nypl.org/600px/702244f-a.jpg,http://digitalcollections.nypl.org/items/da9cc930-c531-012f-aaef-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.981128,40.684691]}"
702248f-a,Brooklyn: 3rd Avenue - Dean Street,st:Photo,1930,1930,dc26b630-c531-012f-048a-58d385a7bc34,702248f,"Third Ave., at the S.W. corner of Dean Street, as seen from across excavation on the N.E. corner. On the right, is seen No. 80 Third Ave. The excavation is preparatory for building belonging to the New York ""Times"".\nJanuary 26, 1930\n\nF. L. Sperr\nNO REPRODUCTIONS","3rd Avenue & Dean Street, Brooklyn, NY",https://www.oldnyc.org/#702248f-a,http://oldnyc-assets.nypl.org/600px/702248f-a.jpg,http://digitalcollections.nypl.org/items/dc26b630-c531-012f-048a-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.981563,40.684047]}"
702252f-a,Brooklyn: 3rd Avenue - St. Mark's Place,st:Photo,1942,1942,ddccd210-c531-012f-cf99-58d385a7bc34,702252f,"P.L. Sperr, photographer 7-22-1942\nNeg. A-647\n","3rd Avenue & St. Mark's Place, Brooklyn, NY",https://www.oldnyc.org/#702252f-a,http://oldnyc-assets.nypl.org/600px/702252f-a.jpg,http://digitalcollections.nypl.org/items/ddccd210-c531-012f-cf99-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.982424,40.682776]}"
702254f-a,Brooklyn: 3rd Avenue - 11th Street,st:Photo,1941,1941,deb8b440-c531-012f-2d5e-58d385a7bc34,702254f,"1. West side of 3rd Ave., south of 11th St., Brooklyn.\nNov. 15, 1941\n2. N.W. corner of 11th St. and 3rd Ave., Brooklyn.\nNov. 15, 1941\nP.L. Sperr, photographer\n","3rd Avenue & 11th Street, Brooklyn, NY",https://www.oldnyc.org/#702254f-a,http://oldnyc-assets.nypl.org/600px/702254f-a.jpg,http://digitalcollections.nypl.org/items/deb8b440-c531-012f-2d5e-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.992022,40.670265]}"
702254f-b,Brooklyn: 3rd Avenue - 11th Street,st:Photo,1941,1941,deb8b440-c531-012f-2d5e-58d385a7bc34,702254f,"1. West side of 3rd Ave., south of 11th St., Brooklyn.\nNov. 15, 1941\n2. N.W. corner of 11th St. and 3rd Ave., Brooklyn.\nNov. 15, 1941\nP.L. Sperr, photographer\n","3rd Avenue & 11th Street, Brooklyn, NY",https://www.oldnyc.org/#702254f-b,http://oldnyc-assets.nypl.org/600px/702254f-b.jpg,http://digitalcollections.nypl.org/items/deb8b440-c531-012f-2d5e-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.992022,40.670265]}"
702257f-a,Brooklyn: 3rd Avenue - 13th Street,st:Photo,1941,1941,e00011b0-c531-012f-f462-58d385a7bc34,702257f,"3rd Avenue, at the northeast corner of 13th Streot. In 1916\nthis was a metal iactory.\nP. L. Sperr April 21, 1941\n","3rd Avenue & 13th Street, Brooklyn, NY",https://www.oldnyc.org/#702257f-a,http://oldnyc-assets.nypl.org/600px/702257f-a.jpg,http://digitalcollections.nypl.org/items/e00011b0-c531-012f-f462-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.99304,40.669057]}"
702258f-a,Brooklyn: 5th Avenue - 13th Street,st:Photo,1941,1941,e05e52c0-c531-012f-2e8b-58d385a7bc34,702258f,"1. Sections of ""L""; 5th Ave., 13th to 12th St., Brooklyn. Oct. 29, 1941\n2. East side of 5th Ave. at 13th St., Brooklyn. Nov. 4, 1941\n3. Loading section of ""L"" on truck; 5th Ave. north of 14th St., Brooklyn. Oct. 29, 1941\nP.L. Sperr, photographer\n","5th Avenue & 13th Street, Brooklyn, NY",https://www.oldnyc.org/#702258f-a,http://oldnyc-assets.nypl.org/600px/702258f-a.jpg,http://digitalcollections.nypl.org/items/e05e52c0-c531-012f-2e8b-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.988318,40.666776]}"
702258f-b,Brooklyn: 5th Avenue - 13th Street,st:Photo,1941,1941,e05e52c0-c531-012f-2e8b-58d385a7bc34,702258f,"1. Sections of ""L""; 5th Ave., 13th to 12th St., Brooklyn. Oct. 29, 1941\n2. East side of 5th Ave. at 13th St., Brooklyn. Nov. 4, 1941\n3. Loading section of ""L"" on truck; 5th Ave. north of 14th St., Brooklyn. Oct. 29, 1941\nP.L. Sperr, photographer\n","5th Avenue & 13th Street, Brooklyn, NY",https://www.oldnyc.org/#702258f-b,http://oldnyc-assets.nypl.org/600px/702258f-b.jpg,http://digitalcollections.nypl.org/items/e05e52c0-c531-012f-2e8b-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.988318,40.666776]}"
702258f-c,Brooklyn: 5th Avenue - 13th Street,st:Photo,1941,1941,e05e52c0-c531-012f-2e8b-58d385a7bc34,702258f,"1. Sections of ""L""; 5th Ave., 13th to 12th St., Brooklyn. Oct. 29, 1941\n2. East side of 5th Ave. at 13th St., Brooklyn. Nov. 4, 1941\n3. Loading section of ""L"" on truck; 5th Ave. north of 14th St., Brooklyn. Oct. 29, 1941\nP.L. Sperr, photographer\n","5th Avenue & 13th Street, Brooklyn, NY",https://www.oldnyc.org/#702258f-c,http://oldnyc-assets.nypl.org/600px/702258f-c.jpg,http://digitalcollections.nypl.org/items/e05e52c0-c531-012f-2e8b-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.988318,40.666776]}"
702259f-a,Brooklyn: 3rd Avenue - 14th Street.,st:Photo,1941,1941,e0cfad40-c531-012f-fe4c-58d385a7bc34,702259f,"1. 14th St., west from 3rd Ave., Brooklyn.\nNov. 15, 1941\n2. West side of 3rd Ave., north of 14th St., Brooklyn.\nNov. 15, 1941\nP.L. Sperr, photographer\n","3rd Avenue & 14th Street., Brooklyn, NY",https://www.oldnyc.org/#702259f-a,http://oldnyc-assets.nypl.org/600px/702259f-a.jpg,http://digitalcollections.nypl.org/items/e0cfad40-c531-012f-fe4c-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.993538,40.668455]}"
702259f-b,Brooklyn: 3rd Avenue - 14th Street.,st:Photo,1941,1941,e0cfad40-c531-012f-fe4c-58d385a7bc34,702259f,"1. 14th St., west from 3rd Ave., Brooklyn.\nNov. 15, 1941\n2. West side of 3rd Ave., north of 14th St., Brooklyn.\nNov. 15, 1941\nP.L. Sperr, photographer\n","3rd Avenue & 14th Street., Brooklyn, NY",https://www.oldnyc.org/#702259f-b,http://oldnyc-assets.nypl.org/600px/702259f-b.jpg,http://digitalcollections.nypl.org/items/e0cfad40-c531-012f-fe4c-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.993538,40.668455]}"
702261f-a,Brooklyn: 3rd Avenue - Prospect Avenue,st:Photo,1940,1940,e1882810-c531-012f-5d87-58d385a7bc34,702261f,"Third Avenue, north from Prospect Avenue. The\nhouses on the left are on the north side of Prospect Avenue.\nP.L. Sperr\n\nView 1: October 23, 1940\nViews 2,3: July 22, 1940\n\nView 2: The N.E. corner of Third and prospect.\nView 3: Third Avenue, at Prospect Avenue\n\nview 2: Neg No. A-961\nview 3: Neg No. A-962\n--------\nview 1:\nview 2: Neg. # 1180\nview 3:\n\n","3rd Avenue & Prospect Avenue, Brooklyn, NY",https://www.oldnyc.org/#702261f-a,http://oldnyc-assets.nypl.org/600px/702261f-a.jpg,http://digitalcollections.nypl.org/items/e1882810-c531-012f-5d87-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.994761,40.666897]}"
702261f-b,Brooklyn: 3rd Avenue - Prospect Avenue,st:Photo,1940,1940,e1882810-c531-012f-5d87-58d385a7bc34,702261f,"Third Avenue, north from Prospect Avenue. The\nhouses on the left are on the north side of Prospect Avenue.\nP.L. Sperr\n\nView 1: October 23, 1940\nViews 2,3: July 22, 1940\n\nView 2: The N.E. corner of Third and prospect.\nView 3: Third Avenue, at Prospect Avenue\n\nview 2: Neg No. A-961\nview 3: Neg No. A-962\n--------\nview 1:\nview 2: Neg. # 1180\nview 3:\n\n","3rd Avenue & Prospect Avenue, Brooklyn, NY",https://www.oldnyc.org/#702261f-b,http://oldnyc-assets.nypl.org/600px/702261f-b.jpg,http://digitalcollections.nypl.org/items/e1882810-c531-012f-5d87-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.994761,40.666897]}"
702261f-c,Brooklyn: 3rd Avenue - Prospect Avenue,st:Photo,1940,1940,e1882810-c531-012f-5d87-58d385a7bc34,702261f,"Third Avenue, north from Prospect Avenue. The\nhouses on the left are on the north side of Prospect Avenue.\nP.L. Sperr\n\nView 1: October 23, 1940\nViews 2,3: July 22, 1940\n\nView 2: The N.E. corner of Third and prospect.\nView 3: Third Avenue, at Prospect Avenue\n\nview 2: Neg No. A-961\nview 3: Neg No. A-962\n--------\nview 1:\nview 2: Neg. # 1180\nview 3:\n\n","3rd Avenue & Prospect Avenue, Brooklyn, NY",https://www.oldnyc.org/#702261f-c,http://oldnyc-assets.nypl.org/600px/702261f-c.jpg,http://digitalcollections.nypl.org/items/e1882810-c531-012f-5d87-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.994761,40.666897]}"
702266f-a,Brooklyn: 3rd Avenue - 18th Street,st:Photo,1941,1941,e356a960-c531-012f-099c-58d385a7bc34,702266f,"3rd Avenue, at 18th Street, looking northwestward across the area where the Gowanus Parkway is being constructed. Note the piles and pile driver. The parkway will be an elevated highway, part of the Belt Parkway system.\n\nP. L. Sperr\nApril 21, 1941\nViews 1,2,3","3rd Avenue & 18th Street, Brooklyn, NY",https://www.oldnyc.org/#702266f-a,http://oldnyc-assets.nypl.org/600px/702266f-a.jpg,http://digitalcollections.nypl.org/items/e356a960-c531-012f-099c-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.995795,40.665516]}"
702266f-b,Brooklyn: 3rd Avenue - 18th Street,st:Photo,1941,1941,e356a960-c531-012f-099c-58d385a7bc34,702266f,"3rd Avenue, at 18th Street, looking northwestward across the area where the Gowanus Parkway is being constructed. Note the piles and pile driver. The parkway will be an elevated highway, part of the Belt Parkway system.\n\nP. L. Sperr\nApril 21, 1941\nViews 1,2,3","3rd Avenue & 18th Street, Brooklyn, NY",https://www.oldnyc.org/#702266f-b,http://oldnyc-assets.nypl.org/600px/702266f-b.jpg,http://digitalcollections.nypl.org/items/e356a960-c531-012f-099c-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.995795,40.665516]}"
702266f-c,Brooklyn: 3rd Avenue - 18th Street,st:Photo,1941,1941,e356a960-c531-012f-099c-58d385a7bc34,702266f,"3rd Avenue, at 18th Street, looking northwestward across the area where the Gowanus Parkway is being constructed. Note the piles and pile driver. The parkway will be an elevated highway, part of the Belt Parkway system.\n\nP. L. Sperr\nApril 21, 1941\nViews 1,2,3","3rd Avenue & 18th Street, Brooklyn, NY",https://www.oldnyc.org/#702266f-c,http://oldnyc-assets.nypl.org/600px/702266f-c.jpg,http://digitalcollections.nypl.org/items/e356a960-c531-012f-099c-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.995795,40.665516]}"
702270f-a,Brooklyn: 3rd Avenue - 20th Street,st:Photo,1940,1940,e4e17e20-c531-012f-5ef9-58d385a7bc34,702270f,"Third Avenue, s.e. cor. 20th Street, Brooklyn.\nNeg. no. A-1340\nP. L. Sperr, phodrapher\nJuuly 22, 1940\n","3rd Avenue & 20th Street, Brooklyn, NY",https://www.oldnyc.org/#702270f-a,http://oldnyc-assets.nypl.org/600px/702270f-a.jpg,http://digitalcollections.nypl.org/items/e4e17e20-c531-012f-5ef9-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.996906,40.664391]}"
702272f-a,Brooklyn: 3rd Avenue - 20th Street,st:Photo,1940,1940,e59c7270-c531-012f-1f1c-58d385a7bc34,702272f,"Third Avenue at 21st Street from 20th Street, Brooklyn.\nNeg. no. A-1337\nP. L. Sperr, photographer\nJuly 22, 1940\n","3rd Avenue & 20th Street, Brooklyn, NY",https://www.oldnyc.org/#702272f-a,http://oldnyc-assets.nypl.org/600px/702272f-a.jpg,http://digitalcollections.nypl.org/items/e59c7270-c531-012f-1f1c-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.996906,40.664391]}"
702276f-a,Brooklyn: 3rd Avenue - 22nd Street,st:Photo,1941,1941,e7206c10-c531-012f-db78-58d385a7bc34,702276f,"3rd Avenue, north from 22nd Street, showing demolition on both sides of the thoroughfare for the construction of the elevated Gowanus Parkway. Most of the demolition was on the east side of the avenue. view 3 shows the west side of the\navenue.\nP. L. Sperr April 21, 1941\nViews 1,2,3\n","3rd Avenue & 22nd Street, Brooklyn, NY",https://www.oldnyc.org/#702276f-a,http://oldnyc-assets.nypl.org/600px/702276f-a.jpg,http://digitalcollections.nypl.org/items/e7206c10-c531-012f-db78-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.998106,40.663264]}"
702276f-b,Brooklyn: 3rd Avenue - 22nd Street,st:Photo,1941,1941,e7206c10-c531-012f-db78-58d385a7bc34,702276f,"3rd Avenue, north from 22nd Street, showing demolition on both sides of the thoroughfare for the construction of the elevated Gowanus Parkway. Most of the demolition was on the east side of the avenue. view 3 shows the west side of the\navenue.\nP. L. Sperr April 21, 1941\nViews 1,2,3\n","3rd Avenue & 22nd Street, Brooklyn, NY",https://www.oldnyc.org/#702276f-b,http://oldnyc-assets.nypl.org/600px/702276f-b.jpg,http://digitalcollections.nypl.org/items/e7206c10-c531-012f-db78-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.998106,40.663264]}"
702276f-c,Brooklyn: 3rd Avenue - 22nd Street,st:Photo,1941,1941,e7206c10-c531-012f-db78-58d385a7bc34,702276f,"3rd Avenue, north from 22nd Street, showing demolition on both sides of the thoroughfare for the construction of the elevated Gowanus Parkway. Most of the demolition was on the east side of the avenue. view 3 shows the west side of the\navenue.\nP. L. Sperr April 21, 1941\nViews 1,2,3\n","3rd Avenue & 22nd Street, Brooklyn, NY",https://www.oldnyc.org/#702276f-c,http://oldnyc-assets.nypl.org/600px/702276f-c.jpg,http://digitalcollections.nypl.org/items/e7206c10-c531-012f-db78-58d385a7bc34,"{""type"":""Point"",""coordinates"":[-73.998106,40.663264]}"
